,variable,construct,p-value
0,age,k_pc,0.01168579027789387
1,age,a_er,0.9026824228423078
2,age,a_pc,0.3750201030809882
3,age,p_pc,0.8261030013425475
4,race,k_pc,0.1182212006406312
5,race,a_er,0.15513797140412242
6,race,a_pc,0.91872053233497
7,race,p_pc,0.8334280182568432
8,gender,k_pc,0.8304091043500997
9,gender,a_er,0.6458260237974682
10,gender,a_pc,0.9358359524116391
11,gender,p_pc,0.8239310875564616
12,protocol,k_pc,0.18995205537952306
13,protocol,a_er,0.9958421018052044
14,protocol,a_pc,0.47019656656605435
15,protocol,p_pc,0.5389721344091538
